protNames uEMDscore qVal
ACSF3 0.00609137055837563 1
ACSL1 0.0152284263959391 1
ACSL3 0.0325546131266116 1
ACSL4 0.187104490682928 1
ACSL5 0.0363990204505279 1
ACSL6 0.0872613969932373 1
ACSM1 0.0116005254536903 1
ACSM2A 0.00304568527918782 1
ACSM2B 0.017109680349005 1
ACSM3 0.0195585540292892 1
ACSM4 0.02576547574642 1
ACSM5 0.00286283063849111 1
ACSS1 0.00203045685279188 1
ACSS2 0.0150792234962132 1
ACSS3 0.105833914467816 1
ACTA1 0.0867979760302303 1
ACTA2 0.414211981641556 1
ACTB 0.474582799500496 1
ACTBL2 0.0679047534097728 1
ACTC1 0 1
ACTG1 0.1910364736219 1
ACTG2 0.274365076790841 1
ACTL10 0 1
ACTL6A 0.028777509284637 1
ACTL6B 0.058084526686236 1
ACTL7A 0.016243654822335 1
ACTL7B 0.0395939086294416 1
ACTL8 0.0124856067854884 1
ACTL9 0.00406091370558376 1
ACTN1 0.0418262759280582 1
ACTN2 0.17691896012066 1
ACTN4 0.225881026905175 1
ACTR10 0.0554382024294124 1
ACTR1A 0.204678808322927 1
ACTR1B 0.0255153176237817 1
ACTR2 0.0445970710822078 1
ACTR3 0.0287102058026954 1
ACTR3B 0.235896271549277 1
ACTR3C 0 1
ACTR5 0.0235667601887741 1
ACTR6 0.0873096446700508 1
ACTR8 0.0690355329949239 1
ACTRT1 0 1
ACTRT2 0.0187071244384619 1
ACTRT3 0.0118170318353578 1
ACVR1 0.0284263959390863 1
ACVR1B 0.37629255120741 1
ACVR1C 0.0548223350253807 1
ACVR2A 0.424948508781889 1
ACVR2B 0.058084526686236 1
ACVRL1 0.116967775417201 1
ACY1 0 1
ACY3 0.0050761421319797 1
ACYP1 0.0480072493148021 1
ACYP2 0 1
ADA 0.0289603639253337 1
ADAD1 0.12149535362709 1
ADAD2 0 1
ADAL 0.0188899790791586 1
ADAM10 0.141732618673067 1
ADAM11 0.122943594816821 1
ADAM12 0.113440829697864 1
ADAM15 0.0197223528648579 1
ADAM17 0.00935356221923096 1
ADAM18 0.00101522842639594 1
ADAM19 0.0110183097906294 1
ADAM2 0.0957152819448274 1
ADAM20 0.0740297757091193 1
ADAM21 0.00304568527918782 1
ADAM22 0 1
ADAM23 0.0879255120740825 1
ADAM28 0.00163109583042766 1
ADAM29 0.0254816658828109 1
ADAM30 0.0120335382170254 1
ADAM32 0.00590851591767892 1
ADAM33 0.00692374434407486 1
ADAM7 0.00166474757139845 1
ADAM8 0.00101522842639594 1
ADAM9 0.0362161658098312 1
ADAMDEC1 0.0112348161722969 1
ADAMTS1 0.0627949595368223 1
ADAMTS10 0.00203045685279188 1
ADAMTS12 0.0183414151570685 1
ADAMTS13 0.0160462042457956 1
ADAMTS14 0.00304568527918782 1
ADAMTS15 0.00858849191547332 1
ADAMTS16 0.0105852970272944 1
ADAMTS17 0.0168595222263667 1
ADAMTS18 0 1
ADAMTS19 0.0587194498953958 1
ADAMTS2 0.0207712330322246 1
ADAMTS20 0.0745009000827103 1
ADAMTS3 0.0369329884367753 1
ADAMTS4 0 1
ADAMTS5 0.0177255477530368 1
ADAMTS6 0.103957120384035 1
ADAMTS7 0 1
ADAMTS8 0 1
ADAMTS9 0.0487017725953196 1
ADAMTSL1 0.0148627171145457 1
ADAMTSL2 0.130550510046869 1
ADAMTSL3 0 1
ADAMTSL4 0.0169604774492791 1
ADAMTSL5 0 1
ADAP1 0 1
ADAP2 0.0250486531194759 1
ADAR 0.00590851591767892 1
ADARB1 0.0502128573977068 1
ADARB2 0.0157960461231573 1
ADAT1 0 1
ADAT2 0.0192893401015228 1
ADAT3 0 1
ADC 0 1
ADCK1 0.0687225312596293 1
ADCK2 0.00203045685279188 1
ADCK3 0.00569200953601142 1
ADCK4 0 1
ADCK5 0.0215363033359822 1
ADCY1 0.155599163166345 1
ADCY10 0.0491157295535265 1
ADCY2 0.0404935858970824 1
ADCY3 0.0283781482622728 1
ADCY4 0.055072493148019 1
ADCY5 0.249582394057832 1
ADCY6 0.0150792234962132 1
